                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                  1.245,                0.82566,                0.89967,                 0.3436,                0.38288,                0.31339,                0.17657,                  1.562,                 1.8196,                 1.0213,             0.00021615,             0.00021615,             0.00021615
                     86,                 1.2212,                0.80324,                0.89777,                0.34437,                0.40531,                 0.3142,                0.17622,                 1.5396,                 1.8536,                 1.0091,             0.00021432,             0.00021432,             0.00021432
                     87,                  1.213,                0.80604,                0.89563,                0.31557,                0.38033,                0.28394,                0.16042,                  1.585,                 1.9119,                 1.0243,             0.00021249,             0.00021249,             0.00021249
                     88,                 1.2447,                0.82172,                 0.9031,                0.36494,                   0.36,                 0.3077,                0.17517,                 1.5539,                 1.8931,                 1.0183,             0.00021066,             0.00021066,             0.00021066
                     89,                  1.221,                0.80796,                0.89312,                0.36239,                0.37655,                0.29875,                0.16767,                 1.5937,                 1.8311,                 1.0109,             0.00020883,             0.00020883,             0.00020883
                     90,                 1.1951,                0.78385,                0.88891,                0.33719,                0.38218,                0.28062,                  0.159,                 1.5501,                 1.9913,                 1.0081,               0.000207,               0.000207,               0.000207
                     91,                 1.2328,                0.80211,                0.89557,                0.35032,                0.37894,                0.30036,                0.17173,                 1.5208,                 1.8882,                 1.0038,             0.00020516,             0.00020516,             0.00020516
                     92,                 1.2416,                0.82885,                0.89888,                0.35351,                0.37078,                0.31221,                0.17221,                 1.5431,                 1.8835,                 1.0082,             0.00020333,             0.00020333,             0.00020333
                     93,                 1.2155,                0.79673,                 0.8961,                0.36151,                 0.3922,                0.31851,                0.18016,                 1.5628,                 1.8984,                 1.0162,              0.0002015,              0.0002015,              0.0002015
                     94,                 1.2198,                0.80024,                0.89558,                0.33076,                0.44502,                0.30722,                0.17182,                 1.5733,                 1.8941,                 1.0202,             0.00019967,             0.00019967,             0.00019967
                     95,                 1.2332,                0.80859,                0.89458,                0.40035,                0.34716,                 0.3227,                0.18277,                 1.5226,                 2.0029,                 1.0047,             0.00019784,             0.00019784,             0.00019784
                     96,                 1.1924,                0.78055,                0.89018,                0.32078,                0.41416,                0.32373,                0.18425,                 1.5495,                 1.8483,                 1.0165,             0.00019601,             0.00019601,             0.00019601
                     97,                  1.204,                 0.7927,                0.89429,                0.29248,                0.42234,                0.28998,                0.16583,                 1.5695,                 1.9315,                 1.0179,             0.00019418,             0.00019418,             0.00019418
                     98,                 1.2101,                0.79207,                 0.8916,                0.36248,                0.30157,                0.29377,                0.16861,                 1.5787,                 1.9403,                 1.0182,             0.00019234,             0.00019234,             0.00019234
                     99,                 1.2001,                0.77821,                0.89362,                0.34258,                0.37943,                0.31579,                0.17855,                 1.5345,                 1.8985,                 1.0078,             0.00019051,             0.00019051,             0.00019051
                    100,                  1.212,                0.77913,                0.89283,                0.37648,                0.33493,                0.32273,                0.17935,                 1.5555,                 1.9031,                 1.0112,             0.00018868,             0.00018868,             0.00018868
                    101,                 1.1797,                0.76407,                0.88751,                0.36788,                  0.352,                0.31205,                0.17826,                 1.5965,                 1.9612,                 1.0262,             0.00018685,             0.00018685,             0.00018685
                    102,                  1.214,                0.77399,                0.88889,                0.44983,                 0.3753,                 0.3348,                0.18151,                 1.5446,                 1.8348,                 1.0044,             0.00018502,             0.00018502,             0.00018502
                    103,                 1.1784,                0.76467,                0.88857,                0.42116,                0.32969,                0.32266,                 0.1761,                  1.567,                 1.8545,                 1.0155,             0.00018319,             0.00018319,             0.00018319
                    104,                 1.2051,                0.76325,                0.89613,                0.39521,                0.40683,                 0.3502,                0.19161,                 1.5297,                 1.7519,                 1.0059,             0.00018136,             0.00018136,             0.00018136
                    105,                 1.1822,                0.76205,                0.88539,                0.38743,                 0.3717,                 0.3248,                  0.177,                 1.5344,                 1.8886,                 1.0097,             0.00017952,             0.00017952,             0.00017952
                    106,                 1.1502,                0.74641,                0.88477,                 0.3964,                0.35393,                0.31433,                0.17616,                 1.5581,                 1.9341,                 1.0138,             0.00017769,             0.00017769,             0.00017769
                    107,                 1.1636,                0.75073,                0.88429,                0.37265,                0.39209,                0.31797,                0.17107,                 1.5782,                 1.8591,                 1.0213,             0.00017586,             0.00017586,             0.00017586
                    108,                  1.158,                0.73473,                0.88462,                0.41639,                0.34051,                0.31852,                0.17619,                 1.5348,                 1.8541,                 1.0121,             0.00017403,             0.00017403,             0.00017403
                    109,                 1.1479,                0.73131,                0.88438,                0.45778,                0.30451,                0.31971,                0.17879,                 1.5298,                 1.8739,                 1.0005,              0.0001722,              0.0001722,              0.0001722
                    110,                 1.1787,                0.74304,                0.88621,                0.39676,                0.33891,                0.32106,                0.17964,                  1.551,                 1.8363,                 1.0088,             0.00017037,             0.00017037,             0.00017037
                    111,                  1.145,                0.71805,                   0.88,                0.37055,                0.35735,                0.31297,                0.17254,                 1.5624,                 1.8492,                 1.0081,             0.00016853,             0.00016853,             0.00016853
                    112,                 1.1458,                0.73012,                 0.8817,                0.32521,                0.43661,                 0.3019,                0.17362,                 1.5259,                 1.8458,                 1.0019,              0.0001667,              0.0001667,              0.0001667
                    113,                 1.1295,                0.74051,                0.87645,                0.40099,                0.40144,                 0.3165,                 0.1755,                 1.5565,                 1.8597,                 1.0089,             0.00016487,             0.00016487,             0.00016487
                    114,                 1.1733,                0.74029,                 0.8856,                0.37637,                0.38631,                0.31865,                0.18323,                 1.5468,                 1.8597,                   1.01,             0.00016304,             0.00016304,             0.00016304
                    115,                 1.1612,                0.72184,                 0.8839,                0.36566,                0.39349,                0.32426,                 0.1806,                 1.5429,                 1.8497,                 1.0098,             0.00016121,             0.00016121,             0.00016121
                    116,                 1.1601,                0.73395,                 0.8859,                0.36302,                0.37802,                0.31657,                0.17871,                 1.5576,                 1.9003,                 1.0189,             0.00015938,             0.00015938,             0.00015938
